order_id,customer_id,order_date,status,total_amount,currency,items_summary,item_count,shipping_country,tracking_number,estimated_delivery,actual_delivery
ORD-1001,CUS-0001,2026-04-22T09:15:00Z,delivered,145.00,EUR,"1x Bluetooth Speaker, 1x USB-C cable",2,PT,TR101001PT,2026-04-25,2026-04-25
ORD-1002,CUS-0001,2026-05-10T16:30:00Z,delivered,89.99,EUR,1x Laptop Stand,1,PT,TR101002PT,2026-05-13,2026-05-13
ORD-1003,CUS-0002,2026-05-08T11:00:00Z,delivered,245.00,EUR,1x External Monitor,1,DE,TR101003DE,2026-05-11,2026-05-11
ORD-1004,CUS-0003,2026-05-15T10:00:00Z,processing,320.00,EUR,2x Headphones,2,FR,,,
ORD-1005,CUS-0004,2026-05-13T08:00:00Z,shipped,87.50,EUR,"1x Wireless Mouse, 1x HDMI Cable",2,IE,TR101005IE,2026-05-18,
ORD-1006,CUS-0005,2026-04-15T14:20:00Z,delivered,156.00,EUR,1x Tablet,1,PL,TR101006PL,2026-04-18,2026-04-19
ORD-1007,CUS-0006,2026-05-11T10:30:00Z,in_transit,425.00,EUR,"1x Charging Dock, 1x Phone Case",2,IT,TR101007IT,2026-05-15,
ORD-1008,CUS-0007,2026-05-08T13:00:00Z,delivered,89.99,EUR,1x Laptop Bag,1,NL,TR101008NL,2026-05-11,2026-05-11
ORD-1009,CUS-0008,2026-05-05T17:45:00Z,delivered,1875.00,EUR,"1x External Monitor, 1x Webcam, 1x Keyboard",3,ES,TR101009ES,2026-05-09,2026-05-09
ORD-1010,CUS-0009,2026-05-13T12:00:00Z,in_transit,240.00,EUR,2x Bluetooth Speaker,2,GB,TR101010GB,2026-05-19,
ORD-1011,CUS-0010,2026-05-09T15:00:00Z,delivered,142.00,EUR,"1x Tablet Cover, 1x USB-C cable",2,PT,TR101011PT,2026-05-12,2026-05-12
ORD-1012,CUS-0011,2026-03-20T10:00:00Z,delivered,320.00,EUR,1x Headphones,1,SE,TR101012SE,2026-03-25,2026-03-25
ORD-1013,CUS-0012,2026-05-06T11:30:00Z,delivered,198.00,EUR,"1x Webcam, 1x USB-C cable",2,FR,TR101013FR,2026-05-09,2026-05-09
ORD-1014,CUS-0013,2026-05-07T09:00:00Z,delivered,75.50,EUR,"1x Phone Case, 1x HDMI Cable",2,US,TR101014US,2026-05-14,2026-05-14
ORD-1015,CUS-0014,2026-05-14T18:30:00Z,placed,75.00,EUR,1x Wireless Mouse,1,GB,,,
ORD-1016,CUS-0015,2026-04-10T13:15:00Z,delivered,1320.00,EUR,"1x External Monitor, 1x Charging Dock",2,IT,TR101016IT,2026-04-14,2026-04-15
ORD-1017,CUS-0016,2026-05-09T16:00:00Z,delivered,165.00,EUR,1x Headphones,1,PT,TR101017PT,2026-05-12,2026-05-12
ORD-1018,CUS-0017,2026-05-04T10:45:00Z,delivered,89.99,EUR,1x Bluetooth Speaker,1,DE,TR101018DE,2026-05-07,2026-05-07
ORD-1019,CUS-0018,2026-04-30T14:00:00Z,delivered,58.00,EUR,1x Laptop Bag,1,FR,TR101019FR,2026-05-03,2026-05-03
ORD-1020,CUS-0001,2026-05-11T12:00:00Z,delivered,210.00,EUR,"1x Keyboard, 1x Wireless Mouse",2,PT,TR101020PT,2026-05-14,2026-05-14
ORD-1021,CUS-0002,2026-05-10T08:30:00Z,delivered,45.00,EUR,"1x USB-C cable, 1x HDMI Cable",2,DE,TR101021DE,2026-05-13,2026-05-13
ORD-1022,CUS-0003,2026-04-28T11:00:00Z,delivered,650.00,EUR,1x External Monitor,1,FR,TR101022FR,2026-05-01,2026-05-01
ORD-1023,CUS-0004,2026-05-09T15:30:00Z,delivered,145.00,EUR,1x Tablet,1,IE,TR101023IE,2026-05-13,2026-05-13
ORD-1024,CUS-0006,2026-05-12T09:00:00Z,in_transit,89.99,EUR,1x Laptop Stand,1,IT,TR101024IT,2026-05-16,
ORD-1025,CUS-0007,2026-05-07T13:00:00Z,delivered,67.50,EUR,1x Webcam,1,NL,TR101025NL,2026-05-10,2026-05-10
ORD-1026,CUS-0008,2026-05-12T16:00:00Z,shipped,115.00,EUR,"1x Power Adapter, 1x USB-C cable",2,ES,TR101026ES,2026-05-15,
ORD-1027,CUS-0009,2026-05-08T10:00:00Z,delivered,95.00,EUR,1x Headphones (refurbished),1,GB,TR101027GB,2026-05-13,2026-05-13
ORD-1028,CUS-0010,2026-05-11T17:00:00Z,delivered,32.00,EUR,1x USB-C cable,1,PT,TR101028PT,2026-05-14,2026-05-14
ORD-1029,CUS-0012,2026-05-15T08:00:00Z,placed,180.00,EUR,1x Keyboard,1,FR,,,
ORD-1030,CUS-0013,2026-04-25T14:00:00Z,delivered,540.00,EUR,2x External Monitor,2,US,TR101030US,2026-05-05,2026-05-06
ORD-1031,CUS-0014,2026-05-09T11:00:00Z,delivered,65.00,EUR,"1x Phone Case, 1x USB-C cable",2,GB,TR101031GB,2026-05-14,2026-05-14
ORD-1032,CUS-0016,2026-05-13T15:00:00Z,shipped,45.00,EUR,1x Wireless Mouse,1,PT,TR101032PT,2026-05-16,
ORD-1033,CUS-0017,2026-05-12T12:30:00Z,in_transit,780.00,EUR,"1x External Monitor, 1x Webcam, 1x Keyboard",3,DE,TR101033DE,2026-05-15,
ORD-1034,CUS-0001,2026-04-05T10:00:00Z,returned,125.00,EUR,1x Bluetooth Speaker (returned),1,PT,TR101034PT,2026-04-08,2026-04-08
ORD-1035,CUS-0003,2026-05-10T13:00:00Z,delivered,295.00,EUR,"1x Charging Dock, 1x Power Adapter",2,FR,TR101035FR,2026-05-13,2026-05-13
ORD-1036,CUS-0006,2026-04-18T09:30:00Z,delivered,98.00,EUR,"1x Laptop Bag, 1x HDMI Cable",2,IT,TR101036IT,2026-04-21,2026-04-22
ORD-1037,CUS-0009,2026-05-12T11:00:00Z,delivered,210.00,EUR,1x Headphones,1,GB,TR101037GB,2026-05-15,2026-05-15
ORD-1038,CUS-0007,2026-05-13T16:30:00Z,shipped,55.00,EUR,"1x USB-C cable, 1x HDMI Cable, 1x Power Adapter",3,NL,TR101038NL,2026-05-16,
ORD-1039,CUS-0008,2026-05-11T14:00:00Z,delivered,1450.00,EUR,2x External Monitor,2,ES,TR101039ES,2026-05-14,2026-05-14
ORD-1040,CUS-0010,2026-05-13T10:00:00Z,shipped,120.00,EUR,"1x Wireless Mouse, 1x Keyboard",2,PT,TR101040PT,2026-05-16,
ORD-1041,CUS-0013,2026-05-15T07:00:00Z,placed,85.00,EUR,"1x Wireless Mouse, 1x USB-C cable",2,US,,,
ORD-1042,CUS-0014,2026-05-06T13:30:00Z,delivered,230.00,EUR,1x Tablet,1,GB,TR101042GB,2026-05-11,2026-05-12
ORD-1043,CUS-0017,2026-05-10T09:00:00Z,delivered,175.00,EUR,1x Headphones,1,DE,TR101043DE,2026-05-13,2026-05-13
ORD-1044,CUS-0001,2026-05-13T14:30:00Z,in_transit,395.00,EUR,"1x Charging Dock, 1x External Monitor",2,PT,TR101044PT,2026-05-16,
ORD-1045,CUS-0003,2026-05-12T10:30:00Z,shipped,62.00,EUR,"1x Phone Case, 1x USB-C cable",2,FR,TR101045FR,2026-05-15,
ORD-1046,CUS-0006,2026-05-09T17:00:00Z,delivered,108.00,EUR,"1x Webcam, 1x Wireless Mouse",2,IT,TR101046IT,2026-05-12,2026-05-12
ORD-1047,CUS-0009,2026-04-12T11:00:00Z,delivered,2100.00,EUR,"1x Tablet, 1x Keyboard, 1x External Monitor",3,GB,TR101047GB,2026-04-19,2026-04-20
ORD-1048,CUS-0012,2026-05-11T08:00:00Z,delivered,48.00,EUR,"1x USB-C cable, 1x HDMI Cable",2,FR,TR101048FR,2026-05-14,2026-05-14
ORD-1049,CUS-0016,2026-05-14T20:00:00Z,placed,92.50,EUR,1x Bluetooth Speaker,1,PT,,,
ORD-1050,CUS-0002,2026-05-13T11:30:00Z,in_transit,118.00,EUR,"1x Power Adapter, 1x Headphones",2,DE,TR101050DE,2026-05-16,
